	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
2.06879	31.1289	-97.8635	
2.0707	2.29883	-214.622	
2.0726	88.1602	-82.8709	
2.07451	62.1982	-53.8027	
2.07641	-32.5781	-107.571	
2.07831	3.10547	-140.63	
2.08022	38.7891	-173.689	
2.08212	-70.9277	-145.807	
2.08403	-111.831	-117.925	
2.08593	-76.752	-90.0436	
2.08783	27.1416	-62.1618	
2.08974	-42.4346	-86.0528	
2.09164	-43.1963	-109.944	
2.09355	-39.6572	-175.253	
2.09545	-36.1172	-240.562	
2.09735	-45.8398	-174.822	
2.09926	13.2529	-109.081	
2.10116	-43.7783	-48.5175	
2.10306	-31.9961	12.0458	
2.10497	29.9639	20.8364	
2.10687	23.1094	-53.2094	
2.10878	-41.0908	-97.9174	
2.11068	-36.4756	-4.56458	
2.11258	-58.6523	58.2638	
2.11449	-149.644	-16.9685	
2.11639	-156.05	-5.91284	
2.1183	-93.6416	5.14276	
2.1202	-7.5791	-16.591	
2.1221	78.4834	-38.3248	
2.12401	107.2	-18.6403	
2.12591	21.2275	1.04413	
2.12782	-10.9844	-9.25653	
2.12972	-43.1963	-19.5571	
2.13162	-82.5762	-29.8578	
2.13353	-121.956	-40.1584	
2.13543	-58.832	-58.2249	
2.13733	4.29297	-76.2914	
2.13924	-51.5742	-35.6822	
2.14114	-38.627	-77.9094	
2.14305	7.09277	-157.807	
2.14495	52.8125	-44.4189	
2.14685	107.134	1.66431	
2.14876	92.6406	-35.089	
2.15066	-0.702148	-51.1331	
2.15257	-94.0449	-67.1773	
2.15447	-42.5918	-88.3987	
2.15637	8.8623	-109.62	
2.15828	-13.5156	-83.8147	
2.16018	-35.8936	-58.0092	
2.16209	-72.6084	-32.2037	
2.16399	5.36816	-6.39825	
2.16589	61.8398	14.23	
2.1678	3.62109	34.8582	
2.1697	31.4199	100.356	
